date,time,rain
4/6/2023,12:05,0.0
4/6/2023,12:10,0.0
4/6/2023,12:15,0.0
4/6/2023,12:20,0.0
4/6/2023,12:25,0.0
4/6/2023,12:30,0.0
4/6/2023,12:35,0.0
4/6/2023,12:40,0.0
4/6/2023,12:45,0.0
4/6/2023,12:50,0.0
4/6/2023,12:55,0.0
4/6/2023,01:00,0.0
4/6/2023,01:05,0.0
4/6/2023,01:10,0.0
4/6/2023,01:15,0.0
4/6/2023,01:20,0.0
4/6/2023,01:25,0.0
4/6/2023,01:30,0.0
4/6/2023,01:35,0.0
4/6/2023,01:40,0.0
4/6/2023,01:45,0.0
4/6/2023,01:50,0.0
4/6/2023,01:55,0.0
4/6/2023,02:00,0.0
4/6/2023,02:05,0.0
4/6/2023,02:10,0.13
4/6/2023,02:15,0.06
4/6/2023,02:20,0.01
4/6/2023,02:25,0.01
4/6/2023,02:30,0.0
4/6/2023,02:35,0.0
4/6/2023,02:40,0.0
4/6/2023,02:45,0.0
4/6/2023,02:50,0.0
4/6/2023,02:55,0.0
4/6/2023,03:00,0.0
4/6/2023,03:05,0.0
4/6/2023,03:10,0.0
4/6/2023,03:15,0.0
4/6/2023,03:20,0.01
4/6/2023,03:25,0.0
4/6/2023,03:30,0.0
4/6/2023,03:35,0.0
4/6/2023,03:40,0.0
4/6/2023,03:45,0.0
4/6/2023,03:50,0.0
4/6/2023,03:55,0.0
4/6/2023,04:00,0.0
4/6/2023,04:05,0.0
4/6/2023,04:10,0.0
4/6/2023,04:15,0.0
4/6/2023,04:20,0.0
4/6/2023,04:25,0.0
4/6/2023,04:30,0.0
4/6/2023,04:35,0.0
4/6/2023,04:40,0.0
4/6/2023,04:45,0.0
4/6/2023,04:50,0.0
4/6/2023,04:55,0.0
4/6/2023,05:00,0.0
4/6/2023,05:05,0.0
4/6/2023,05:10,0.0
4/6/2023,05:15,0.0
4/6/2023,05:20,0.0
4/6/2023,05:25,0.0
4/6/2023,05:30,0.0
4/6/2023,05:35,0.0
4/6/2023,05:40,0.0
4/6/2023,05:45,0.0
4/6/2023,05:50,0.0
4/6/2023,05:55,0.0
4/6/2023,06:00,0.0
4/6/2023,06:05,0.0
4/6/2023,06:10,0.0
4/6/2023,06:15,0.09
4/6/2023,06:20,0.11
4/6/2023,06:25,0.06
4/6/2023,06:30,0.02
4/6/2023,06:35,0.01
4/6/2023,06:40,0.01
4/6/2023,06:45,0.01
4/6/2023,06:50,0.01
4/6/2023,06:55,0.0
4/6/2023,07:00,0.0
4/6/2023,07:05,0.0
4/6/2023,07:10,0.0
4/6/2023,07:15,0.01
4/6/2023,07:20,0.01
4/6/2023,07:25,0.2
4/6/2023,07:30,0.06
4/6/2023,07:35,0.0
4/6/2023,07:40,0.01
4/6/2023,07:45,0.01
4/6/2023,07:50,0.08
4/6/2023,07:55,0.06
4/6/2023,08:00,0.0
4/6/2023,08:05,0.01
4/6/2023,08:10,0.0
4/6/2023,08:15,0.0
4/6/2023,08:20,0.01
4/6/2023,08:25,0.01
4/6/2023,08:30,0.0
4/6/2023,08:35,0.0
4/6/2023,08:40,0.03
4/6/2023,08:45,0.04
4/6/2023,08:50,0.02
4/6/2023,08:55,0.01
4/6/2023,09:00,0.01
4/6/2023,09:05,0.01
4/6/2023,09:10,0.0
4/6/2023,09:15,0.0
4/6/2023,09:20,0.0
4/6/2023,09:25,0.0
4/6/2023,09:30,0.0
4/6/2023,09:35,0.0
4/6/2023,09:40,0.01
4/6/2023,09:45,0.02
4/6/2023,09:50,0.05
4/6/2023,09:55,0.14
4/6/2023,10:00,0.05
