date,flow
2023-04-06 13:05:00,0.024373
2023-04-06 13:10:00,0.024056
2023-04-06 13:15:00,0.023567
2023-04-06 13:20:00,0.023129
2023-04-06 13:25:00,0.022874
2023-04-06 13:30:00,0.022606
2023-04-06 13:35:00,0.022267
2023-04-06 13:40:00,0.022131
2023-04-06 13:45:00,0.021717
2023-04-06 13:50:00,0.021164
2023-04-06 13:55:00,0.021054
2023-04-06 14:00:00,0.021006
2023-04-06 14:05:00,0.020646
2023-04-06 14:10:00,0.020378
2023-04-06 14:15:00,0.020323
2023-04-06 14:20:00,0.020003
2023-04-06 14:25:00,0.019841
2023-04-06 14:30:00,0.019643
2023-04-06 14:35:00,0.019366
2023-04-06 14:40:00,0.019231
2023-04-06 14:45:00,0.019002
2023-04-06 14:50:00,0.018857
2023-04-06 14:55:00,0.018943
2023-04-06 15:00:00,0.018747
2023-04-06 15:05:00,0.017974
2023-04-06 15:10:00,0.017988
2023-04-06 15:15:00,0.017648
2023-04-06 15:20:00,0.017146
2023-04-06 15:25:00,0.017194
2023-04-06 15:30:00,0.017085
2023-04-06 15:35:00,0.016957
2023-04-06 15:40:00,0.016977
2023-04-06 15:45:00,0.016922
2023-04-06 15:50:00,0.016813
2023-04-06 15:55:00,0.016866
2023-04-06 16:00:00,0.016587
2023-04-06 16:05:00,0.016054
2023-04-06 16:10:00,0.016142
2023-04-06 16:15:00,0.016044
2023-04-06 16:20:00,0.015839
2023-04-06 16:25:00,0.015762
2023-04-06 16:30:00,0.015693
2023-04-06 16:35:00,0.015669
2023-04-06 16:40:00,0.015723
2023-04-06 16:45:00,0.015678
2023-04-06 16:50:00,0.015073
2023-04-06 16:55:00,0.015233
2023-04-06 17:00:00,0.014946
2023-04-06 17:05:00,0.014953
2023-04-06 17:10:00,0.015267
2023-04-06 17:15:00,0.01524
2023-04-06 17:20:00,0.015078
2023-04-06 17:25:00,0.015156
2023-04-06 17:30:00,0.01504
2023-04-06 17:35:00,0.014428
2023-04-06 17:40:00,0.014517
2023-04-06 17:45:00,0.014281
2023-04-06 17:50:00,0.014146
2023-04-06 17:55:00,0.014318
2023-04-06 18:00:00,0.014106
2023-04-06 18:05:00,0.013913
2023-04-06 18:10:00,0.013927
2023-04-06 18:15:00,0.013823
2023-04-06 18:20:00,0.013271
2023-04-06 18:25:00,0.013258
2023-04-06 18:30:00,0.013148
2023-04-06 18:35:00,0.013495
2023-04-06 18:40:00,0.013437
2023-04-06 18:45:00,0.013371
2023-04-06 18:50:00,0.013075
2023-04-06 18:55:00,0.013067
2023-04-06 19:00:00,0.012868
2023-04-06 19:05:00,0.012786
2023-04-06 19:10:00,0.012897
2023-04-06 19:15:00,0.012702
2023-04-06 19:20:00,0.012675
2023-04-06 19:25:00,0.012741
2023-04-06 19:30:00,0.012575
2023-04-06 19:35:00,0.012291
2023-04-06 19:40:00,0.012113
2023-04-06 19:45:00,0.012123
